Proposições;Ementa;Explicação;Autor;UF;Partido;Apresentação;Situação;Link;TipoSG
PL 1402/2020;Altera a Lei n° 11.350, de 5 de outubro de 2006, para dispor sobre a concessão de adicional de insalubridade aos Agentes Comunitários de Saúde e aos Agentes de Combate às Endemias.;;Luiz Nishimori;PR;PL;2020-04-01;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242671;PL
PL 1640/2021;Altera as Leis nº 6.259, de 30 de outubro de 1975, e nº 8.239, de 4 de outubro de 1991, para dispor sobre a mobilização de profissionais e estudantes da área da saúde para o controle de epidemias e em situações de calamidade pública. ;;Rubens Bueno;PR;CIDADANIA;2021-04-29;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2279798;PL
PL 1158/2021;Cria o Passaporte Sanitário de Covid-19 em território nacional;;"Geninho Zuliani;Vicentinho Júnior;Carlos Chiodini;Magda Mofatto;Bacelar;Herculano Passos;Vermelho;Gustinho Ribeiro;Dr. Leonardo;Carlos Henrique Gaguim;Rubens Bueno;Dr. Zacharias Calil;Eduardo Bismarck";"SP;TO;SC;GO;BA;SP;PR;SE;MT;TO;PR;GO;CE";"DEM;PL;MDB;PL;PODE;MDB;PSD;SOLIDARI;SOLIDARI;DEM;CIDADANIA;DEM;PDT";2021-03-31;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2276074;PL
PL 639/2021;"Prorroga o prazo para a apresentação da Declaração de Ajuste Anual do Imposto de Renda Pessoa Física referente ao exercício de 2021, no ano-calendário de 2020, em decorrência da emergência de saúde pública de importância internacional relacionada ao coronavírus (Covid-19).

NOVA EMENTA: Altera a Lei nº 9.250, de 26 de dezembro de 1995, para prorrogar o prazo para a apresentação da Declaração de Ajuste Anual do Imposto sobre a Renda da Pessoa Física referente ao exercício de 2021, ano-calendário de 2020.";;"Rubens Bueno;Rodrigo Coelho";"PR;SC";"CIDADANIA;PSB";2021-03-01;Aguardando Apreciação do Veto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2271087;PL
PL 28/2021;Institui o auxílio renda emergencial para o enfrentamento da crise de saúde pública decorrente do coronavírus (Covid-19).;;"Arnaldo Jardim;Rubens Bueno;Alex Manente;Daniel Coelho;Da Vitoria;Paula Belmonte";"SP;PR;SP;PE;ES;DF";"CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA";2021-02-03;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2268648;PL
PL 4153/2020;Concede isenção dos tributos federais que especifica, incidentes sobre as receitas dos laboratórios de análises clínicas com a realização de exames para a detecção da Covid-19, durante a vigência da situação de calamidade pública reconhecida pelo Decreto Legislativo nº 6, de 2020, decorrente da pandemia declarada pela Organização Mundial da Saúde .;;Rubens Bueno;PR;CIDADANIA;2020-08-11;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259825;PL
PL 4118/2020;Altera a Lei nº 13.982, de 2 de abril de 2020, para prorrogar por mais três meses a vigência da dedução do repasse das contribuições à previdência social referente ao valor devido ao segurado empregado cuja incapacidade temporária para o trabalho seja comprovadamente decorrente de sua contaminação pelo coronavírus (Covid-19). ;;Rubens Bueno;PR;CIDADANIA;2020-08-07;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259707;PL
PL 2483/2020;Altera a Lei nº 13.982, de 2 de abril de 2020, para prorrogar as medidas excepcionais de proteção social a serem adotadas durante o período de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (Covid-19) responsável pelo surto de 2019, a que se refere a Lei nº 13.979, de 6 de fevereiro de 2020.;;"Arnaldo Jardim;Alex Manente;Carmen Zanotto;Da Vitoria;Daniel Coelho;Marcelo Calero;Paula Belmonte;Rubens Bueno";"SP;SP;SC;ES;PE;RJ;DF;PR";"CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA;CIDADANIA";2020-05-08;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2251978;PL
PL 1213/2020;"Prorroga o prazo para a apresentação da Declaração de Ajuste Anual do Imposto de Renda Pessoa Física referente ao exercício de 2020, no ano-calendário de 2019, em decorrência da emergência de saúde pública de importância internacional relacionada ao coronavírus (Covid-19).
";;Rubens Bueno;PR;CIDADANIA;2020-03-30;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242301;PL
PL 4119/2020;Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde, para permitir que as entidades de autogestão ofereçam cobertura em localidade diversa no caso em que especifica.;;Toninho Wandscheer;PR;PROS;2020-08-07;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2259717;PL
PL 3114/2020;Dispõe sobre a prestação de auxílio financeiro pela União às Instituições de Acolhimento de Crianças e Adolescentes (IACA), no exercício de 2020, em razão do enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus transmissor da Covid-19;;"Leandre;Tereza Nelma;Dulce Miranda;Carmen Zanotto;Daniela do Waguinho;Dra. Soraya Manato;Toninho Wandscheer;Soraya Santos;Professor Israel Batista;Aline Gurgel;Margarete Coelho;Greyce Elias";"PR;AL;TO;SC;RJ;ES;PR;RJ;DF;AP;PI;MG";"PV;PSDB;MDB;CIDADANIA;MDB;PSL;PROS;PL;PV;REPUBLIC;PP;AVANTE";2020-06-03;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2254481;PL
PL 1411/2020;Autoriza os profissionais de saúde a deduzirem da base de cálculo do Imposto de Renda de Pessoa Física, de que trata a Lei n 9.250 de 26 de dezembro de 1995, a aquisição de equipamentos de proteção individual – EPI, adquiridos entre o período de 26 de fevereiro de 2020 e enquanto durar à emergência de saúde pública de importância internacional em decorrência da Infecção Humana pelo coronavírus (COVID19) até o limite individual de R$ 3.500,00 (três mil e quinhentos reais).;;"Clarissa Garotinho;Weliton Prado;Capitão Wagner;Toninho Wandscheer;Acácio Favacho";"RJ;MG;CE;PR;AP";"PROS;PROS;PROS;PROS;PROS";2020-04-01;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242684;PL
PL 981/2020;Altera a Lei nº 13.979, de 2020, a fim de autorizar que os Estados e Municípios utilizem os recursos relativos ao leilão dos barris de petróleo excedentes para o pagamento de despesas com medidas emergenciais decorrentes da pandemia do Covid-19.;;"Acácio Favacho;Clarissa Garotinho;Toninho Wandscheer";"AP;RJ;PR";"PROS;PROS;PROS";2020-03-24;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2241931;PL
PL 3367/2021;Altera a Lei no 14.124, de 10 de março de 2021, para dispor sobre a veiculação de mensagem de incentivo à vacinação contra a Covid-19 nas faturas ao consumidor final dos serviços públicos que menciona.;;Gustavo Fruet;PR;PDT;2021-09-29;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2300903;PL
PL 2949/2020;Dispõe sobre a Estratégia para o Retorno às Aulas no âmbito do enfrentamento da pandemia do coronavírus (Covid-19);;"Idilvan Alencar;Professora Rosa Neide;Wolney Queiroz;Paula Belmonte;Túlio Gadêlha;Fábio Henrique;Eduardo Bismarck;Mário Heringer;André Figueiredo;Subtenente Gonzaga;Dagoberto Nogueira;Flávia Morais;Gustavo Fruet;Leônidas Cristino;Robério Monteiro;João H. Campos;Danilo Cabral;Tabata Amaral;Mauro Benevides Filho";"CE;MT;PE;DF;PE;SE;CE;MG;CE;MG;MS;GO;PR;CE;CE;PE;PE;SP;CE";"PDT;PT;PDT;CIDADANIA;PDT;PDT;PDT;PDT;PDT;PDT;PDT;PDT;PDT;PDT;PDT;PSB;PSB;PDT;PDT";2020-05-28;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253934;PL
PL 1865/2021;Determina que gestantes, puérperas e lactantes de até dois anos, sem comorbidades, sejam incluídas na lista de prioridades do Plano Nacional de Imunização – Covid 19. ;;"Alexandre Padilha;Marília Arraes;Nilto Tatto;José Ricardo;Pedro Uczai;Rejane Dias;Carlos Zarattini;Afonso Florence;Rogério Correia;Vander Loubet;Erika Kokay;Padre João;Valmir Assunção;Enio Verri;Marcon;Helder Salomão;Paulo Teixeira;Benedita da Silva;Professora Rosa Neide;Vicentinho;Gleisi Hoffmann;Alencar Santana;Leo de Brito;Célio Moura;Henrique Fontana;Waldenor Pereira;Paulão;Zé Carlos;Frei Anastacio Ribeiro;Leonardo Monteiro;Maria do Rosário;Paulo Pimenta;João Daniel;José Guimarães;Airton Faleiro;Merlong Solano;Jorge Solla;Rubens Otoni;Odorico Monteiro;Jaqueline Cassol;Tereza Nelma;Luiza Erundina;Odair Cunha;Zeca Dirceu;Eduardo da Fonte;Iracema Portella;Danilo Cabral;Daniela do Waguinho;Carla Dickson;Fernanda Melchionna;Talíria Petrone";"SP;PE;SP;AM;SC;PI;SP;BA;MG;MS;DF;MG;BA;PR;RS;ES;SP;RJ;MT;SP;PR;SP;AC;TO;RS;BA;AL;MA;PB;MG;RS;RS;SE;CE;PA;PI;BA;GO;CE;RO;AL;SP;MG;PR;PE;PI;PE;RJ;RN;RS;RJ";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PSB;PP;PSDB;PSOL;PT;PT;PP;PP;PSB;MDB;PROS;PSOL;PSOL";2021-05-18;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2283407;PL
PL 1588/2021;Estabelece compensação financeira a criança ou adolescente, de 0 a 17 anos, afastado do convívio familiar em razão de óbito dos genitores ou responsáveis por COVID-19 e dá outras providências.;;"Valmir Assunção;Marília Arraes;Beto Faro;Marcon;Professora Rosa Neide;Nilto Tatto;Frei Anastacio Ribeiro;Bohn Gass;Célio Moura;José Guimarães;Airton Faleiro;Erika Kokay;Patrus Ananias;José Ricardo;Afonso Florence;Paulo Pimenta;Alencar Santana;Paulo Guedes;Paulo Teixeira;Waldenor Pereira;Vander Loubet;Rubens Otoni;Carlos Veras;Gleisi Hoffmann;Merlong Solano;Jorge Solla;Zeca Dirceu;Luizianne Lins;Paulão;Leonardo Monteiro;Pedro Uczai;Helder Salomão;Reginaldo Lopes;Zé Carlos;Leo de Brito;Vicentinho;Carlos Zarattini;Benedita da Silva;Alexandre Padilha;Rogério Correia;Padre João;Natália Bonavides;Enio Verri;HENRIQUE AFONSO;Rui Falcão;Rejane Dias;João Daniel";"BA;PE;PA;RS;MT;SP;PB;RS;TO;CE;PA;DF;MG;AM;BA;RS;SP;MG;SP;BA;MS;GO;PE;PR;PI;BA;PR;CE;AL;MG;SC;ES;MG;MA;AC;SP;SP;RJ;SP;MG;MG;RN;PR;SP;PI;SE";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2021-04-28;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2279646;PL
PL 1341/2021;Altera a Lei nº 10.260, de 12 de julho de 2001, que dispõe sobre o Fundo de Financiamento ao estudante do Ensino Superior e dá outras providências, para suspender temporariamente as obrigações financeiras dos estudantes beneficiários do Fundo de Financiamento Estudantil (Fies) durante o período de emergência de saúde pública declarado pela Lei nº 13.979, de 6 de fevereiro de 2020.;;"Zeca Dirceu;Maria do Rosário";"PR;RS";"PT;PT";2021-04-12;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2277688;PL
PL 1092/2021;Altera a Lei nº 14.124, de 2021, para incluir os trabalhadores do Serviço Único de Assistência Social e trabalhadores de serviços essenciais no grupo prioritário para vacinação contra a Covid-19.;;Zeca Dirceu;PR;PT;2021-03-26;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2275659;PL
PL 907/2021;Assegura, no âmbito do Sistema Único de Saúde, a reabilitação de pessoas com sequelas decorrentes da COVID-19 com recursos repassados pela União e dá outras providências.;;Zeca Dirceu;PR;PT;2021-03-16;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2273907;PL
PL 823/2021;"Dispõe sobre medidas emergenciais de amparo aos agricultores familiares do Brasil para mitigar os impactos socioeconômicos da Covid–19; altera as Leis nºs 13.340, de 28 de setembro de 2016, e 13.606, de 9 de janeiro de 2018; e dá outras providências (Lei Assis Carvalho II).

NOVA EMENTA: Dispõe sobre medidas emergenciais de amparo à agricultura familiar, para mitigar os impactos socioeconômicos da Covid-19; altera as Leis nºs 13.340, de 28 de setembro de 2016, e 13.606, de 9 de janeiro de 2018; e dá outras providências (Lei Assis Carvalho II).";;"Pedro Uczai;Erika Kokay;Jorge Solla;Carlos Veras;Maria do Rosário;Valmir Assunção;Marcon;Rogério Correia;Leo de Brito;José Guimarães;Marília Arraes;Célio Moura;José Ricardo;Beto Faro;Padre João;João Daniel;Benedita da Silva;Afonso Florence;Bohn Gass;Alencar Santana;Airton Faleiro;Rubens Otoni;Rejane Dias;Paulo Teixeira;Vander Loubet;Patrus Ananias;Enio Verri;Natália Bonavides;Henrique Fontana;Leonardo Monteiro;Professora Rosa Neide;Gleisi Hoffmann;Vicentinho;José Airton Félix Cirilo;Alexandre Padilha;Waldenor Pereira;Frei Anastacio Ribeiro;Merlong Solano;Nilto Tatto;Helder Salomão;Paulo Pimenta;Paulão;Zé Carlos;Zé Neto;Paulo Guedes;Carlos Zarattini;Rui Falcão;Zeca Dirceu;Joseildo Ramos;Odair Cunha";"SC;DF;BA;PE;RS;BA;RS;MG;AC;CE;PE;TO;AM;PA;MG;SE;RJ;BA;RS;SP;PA;GO;PI;SP;MS;MG;PR;RN;RS;MG;MT;PR;SP;CE;SP;BA;PB;PI;SP;ES;RS;AL;MA;BA;MG;SP;SP;PR;BA;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2021-03-10;Transformado em Norma Jurídica;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2273510;PL
PL 4366/2020;Acrescenta os  §4º, §5°, §6º, §7º e §8° ao Art. 3º - J da Lei 13.979 de 6 de fevereiro de 2020 que dispõe sobre as medidas para enfrentamento da emergência de saúde pública de importância internacional decorrente de coronavírus responsável pelo surto de 2019 para garantir a testagem gratuita e obrigatória, acompanhamento psicológico, local de descanso entre e intra jornadas aos profissionais essenciais ao controle do novo coronavírus entre outras providências;;"Maria do Rosário;Jorge Solla;Arlindo Chinaglia;Erika Kokay;Beto Faro;Valmir Assunção;Pedro Uczai;Paulo Teixeira;Célio Moura;Alencar Santana;Enio Verri;Rogério Correia;Marília Arraes;Carlos Veras;Reginaldo Lopes;José Guimarães;Waldenor Pereira;Luizianne Lins;Leonardo Monteiro;Frei Anastacio Ribeiro;Odair Cunha;Joseildo Ramos;Vander Loubet;Padre João;Benedita da Silva;Zé Carlos;Professora Rosa Neide;Henrique Fontana;Margarida Salomão;Nilto Tatto;Helder Salomão;João Daniel;Airton Faleiro;Paulo Pimenta;Vicentinho;Paulão;Marcon;José Ricardo;Alexandre Padilha;Gleisi Hoffmann;Paulo Guedes;Rejane Dias;Afonso Florence;Natália Bonavides;Patrus Ananias;Zeca Dirceu;Rubens Otoni";"RS;BA;SP;DF;PA;BA;SC;SP;TO;SP;PR;MG;PE;PE;MG;CE;BA;CE;MG;PB;MG;BA;MS;MG;RJ;MA;MT;RS;MG;SP;ES;SE;PA;RS;SP;AL;RS;AM;SP;PR;MG;PI;BA;RN;MG;PR;GO";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-08-26;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2261038;PL
PL 3836/2020;Cria a bolsa de estudos emergencial para cursos superiores, com o objetivo de mitigar os efeitos da inadimplência nas mensalidades em razão da pandemia de COVID-19;;"Alencar Santana;Carlos Veras;Professora Rosa Neide;Pedro Uczai;Natália Bonavides;Waldenor Pereira;Rogério Correia;Margarida Salomão;Patrus Ananias;José Ricardo;Maria do Rosário;Zeca Dirceu";"SP;PE;MT;SC;RN;BA;MG;MG;MG;AM;RS;PR";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-07-16;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2257903;PL
PL 3752/2020;Institui o Sistema Nacional de Informações relativas a Covid-19.;;"Célio Moura;Enio Verri;Beto Faro;João Daniel;Marília Arraes;Pedro Uczai;Carlos Veras;Bohn Gass;Luizianne Lins;Valmir Assunção;Afonso Florence;Nilto Tatto;Jorge Solla;Patrus Ananias;Alexandre Padilha;José Ricardo;Airton Faleiro;Rogério Correia;José Guimarães;Marcon;Vicentinho;Maria do Rosário;Zé Carlos;Erika Kokay;Frei Anastacio Ribeiro;Rubens Otoni;Paulão;Padre João;Zeca Dirceu;Leonardo Monteiro;Waldenor Pereira;Helder Salomão;Professora Rosa Neide;Henrique Fontana;Merlong Solano;Arlindo Chinaglia;Margarida Salomão;Rui Falcão;Paulo Teixeira;Benedita da Silva;Paulo Guedes;Vander Loubet";"TO;PR;PA;SE;PE;SC;PE;RS;CE;BA;BA;SP;BA;MG;SP;AM;PA;MG;CE;RS;SP;RS;MA;DF;PB;GO;AL;MG;PR;MG;BA;ES;MT;RS;PI;SP;MG;SP;SP;RJ;MG;MS";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";2020-07-13;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2257473;PL
